Ticket_ID,Student_ID,Category,Complaint_Text,Priority,Status,Date_Submitted,Unnamed: 0.1,Unnamed: 0
TCKT0150,S10150,Student Affairs,ضغط السكن عالي ومستوى الراحة ضعيف.,High,Open,2025-01-05,,
TCKT0151,S10151,Financial Support,المساعدة المالية مش بتوصّل بانتظام وده بيأثر على دراستي.,Medium,Open,2024-11-07,,
TCKT0152,S10152,Student Affairs,السكن غير مريح والأسرة محتاجين صيانة مستمرة.,High,In Progress,2024-10-25,,
TCKT0153,S10153,Academic Support and Resources,بحاجة لمزيد من الدعم في المواد العلمية الصعبة.,Medium,Open,2025-01-12,,
TCKT0154,S10154,IT,الإنترنت في الحرم ضعيف وما بيغطيش كل المناطق.,Urgent,Open,2024-09-16,,
TCKT0155,S10155,Financial Support,الرسوم غير واضحة وبتتغير بدون إعلام الطلاب.,Medium,In Progress,2024-12-20,,
TCKT0156,S10156,Student Affairs,المواصلات محدودة ومواعيدها مش مناسبة لمعظم الطلاب.,Medium,Open,2025-03-02,,
TCKT0157,S10157,Academic Support and Resources,مكتبة الجامعة ساعاتها مش مناسبة لكل الطلاب.,Low,Open,2024-11-21,,
TCKT0158,S10158,IT,المعدات في معمل الكمبيوتر قديمة والتحديثات قليلة.,Medium,Open,2025-02-27,,
TCKT0159,S10159,Financial Support,تأخير استلام المنح بيسبب ضغط مالي كبير على الطلبة.,High,Open,2024-10-04,,
TCKT0160,S10160,Student Affairs,إجراءات الانضمام للاندية معقدة جداً ومش واضحة.,Medium,Open,2024-09-29,,
TCKT0161,S10161,Academic Support and Resources,المواد الدراسية الجديدة مش متاحة بسهولة للطلاب.,Medium,Open,2025-01-05,,
TCKT0162,S10162,IT,الدعم الفني بطيء والاستجابة ضعيفة للمشكلات.,High,In Progress,2025-03-15,,
TCKT0163,S10163,Financial Support,الرسوم المطلوبة تختلف كل فصل بدون توضيح مسبق.,Medium,Open,2024-10-18,,
TCKT0164,S10164,Student Affairs,الأضواء في الممرات ضعيفة جداً وده يشكل خطراً.,Urgent,In Progress,2025-01-28,,
TCKT0165,S10165,Academic Support and Resources,بحاجة لمساعدة في فهم بعض المواد التي أجدها صعبة.,Medium,Open,2024-12-02,,
TCKT0166,S10166,IT,الموقع الإلكتروني بيقفل فجأة وده بيخرب عمليات التسجيل.,High,Open,2024-09-23,,
TCKT0167,S10167,Financial Support,المعلومات المالية غير واضحة ويصعب علي تتبعها.,Medium,Open,2025-02-08,,
TCKT0168,S10168,Student Affairs,النوادي الجامعية مش بتوفر نشاطات شيقة أو متنوعة.,Low,Open,2024-10-01,,
TCKT0169,S10169,Academic Support and Resources,الدورات المعارضة بين أوقات المحاضرات الرئيسية.,Medium,In Progress,2025-03-09,,
TCKT0170,S10170,IT,عدم استقرار الشبكة يعرقل الانخراط في المحاضرات الإلكترونية.,Urgent,Open,2024-11-10,,
TCKT0171,S10171,Financial Support,بعض الرسوم تظهر في حسابي بالرغم من دفعها مسبقاً.,Medium,Open,2025-01-16,,
TCKT0172,S10172,Student Affairs,الازدحام في الكافتيريا مزعج ويؤثر على راحة الطلاب.,Medium,Open,2024-12-14,,
TCKT0173,S10173,Academic Support and Resources,عدم توفر المواد الدراسية الإلكترونية بشكل كافٍ.,High,In Progress,2025-02-19,,
TCKT0174,S10174,IT,المساعدة التقنية بتتأخر جداً في الرد على المشاكل.,Medium,Open,2024-09-30,,
TCKT0175,S10175,Financial Support,عدم وضوح إجراءات صرف المنح يسبب تعقيد وإرباك.,Medium,Open,2024-11-05,,
TCKT0176,S10176,Student Affairs,المواصلات غير منظمة والطلاب يعانوا منها يومياً.,High,In Progress,2025-01-03,,
TCKT0177,S10177,Academic Support and Resources,موضوع الدراسة عن بعد بيواجه العديد من التحديات التقنية.,Urgent,Open,2024-10-27,,
TCKT0178,S10178,IT,صعوبات في تسجيل الدخول ونسيان كلمة المرور بشكل متكرر.,Medium,Open,2025-02-11,,
TCKT0179,S10179,Financial Support,تحديثات الرسوم غير معلنة مسبقاً وده بيخلي التخطيط صعب.,Medium,In Progress,2024-09-17,,
TCKT0180,S10180,Student Affairs,عدم توفر مكان مناسب للدراسة الحرة داخل الحرم الجامعي.,Low,Open,2025-03-22,,
TCKT0181,S10181,Academic Support and Resources,الكتب الدراسية مش متوفرة والنسخ الإلكترونية ضعيفة الجودة.,Medium,Open,2024-11-29,,
TCKT0182,S10182,IT,الواجهة الرقمية للموقع صعبة الاستخدام ومعقدة للطلاب.,Medium,Open,2025-01-20,,
TCKT0183,S10183,Financial Support,الإقراض الطلابي معقد ولا توجد توجيهات واضحة للطلاب.,High,Open,2024-09-25,,
TCKT0184,S10184,Student Affairs,الاهتمام بالأمن والسلامة ضعيف بالمقارنة مع الحرم الآخرين.,Medium,In Progress,2024-10-13,,
TCKT0185,S10185,Academic Support and Resources,المختبرات مش مجهزة بالكامل وبتأثر على نتائج الدراسات.,High,Open,2025-02-28,,
TCKT0186,S10186,IT,التطبيق الخاص بالجامعة لا يعمل بشكل كافي على الهواتف الذكية.,Medium,Open,2024-12-08,,
TCKT0187,S10187,Financial Support,التأخير في إيداع المنح يسبب ضغط مالي وعدم جودة في الدراسة.,Urgent,Open,2024-11-22,,
TCKT0188,S10188,Student Affairs,مواقف السيارات غير كافية وهذا يؤدي للكهربة والتأخير.,Medium,Open,2025-01-19,,
TCKT0189,S10189,Academic Support and Resources,برامج التعلم الإلكتروني تحتاج تحسين من ناحية المحتوى.,Medium,Open,2024-10-11,,
TCKT0190,S10190,IT,انقطاع التيار في المعامل الرقمية يؤدي لفقدان الأعمال.,High,In Progress,2025-03-01,,
TCKT0191,S10191,Financial Support,لا توجد شفافية كافية في توضيح قيمة الرسوم الدراسية.,Medium,Open,2024-12-19,,
TCKT0192,S10192,Student Affairs,الضوضاء العالية في السكن تؤثر على تركيزنا في الدراسة.,Medium,Open,2025-01-08,,
TCKT0193,S10193,Academic Support and Resources,محاضرات بعض الدورات ليست منظمة بشكل جيد وتحتاج ترتيب.,High,In Progress,2024-11-07,,
TCKT0194,S10194,IT,عدم وجود دعم فني خلال عطلات نهاية الأسبوع يؤخر حل المشكلات.,Medium,Open,2025-02-27,,
TCKT0195,S10195,Financial Support,بعض الطلبة ما بيرجعولهمش رسوم السكن رغم استحقاقهم.,Medium,Open,2024-10-24,,
TCKT0196,S10196,Student Affairs,الإنارة غير مناسبة في الممرات والسلالم، خطر على السلامة.,High,Open,2024-09-28,,
TCKT0197,S10197,Academic Support and Resources,المختبرات تفتقر للتمويل الكافي لتوفير المعدات الحديثة.,Medium,In Progress,2025-03-11,,
TCKT0198,S10198,IT,المشاكل التقنية في النظام التعليمي عبر الإنترنت متكررة.,High,Open,2024-11-15,,
TCKT0199,S10199,Financial Support,المصاريف الدراسية تتغير بدون إشعار مسبق للطلاب.,Medium,Open,2025-01-26,,
TCKT0200,S10200,Student Affairs,ضغط السكن مستمر، ولا توجد خطط واضحة لحله.,Medium,Open,2024-10-30,,
TCKT0201,S10201,Financial Support,التأخير في صرف المساعدات المالية أثر على قدرتي على دفع الرسوم.,High,In Progress,2024-11-05,,
TCKT0202,S10202,Student Affairs,الصيانة في السكن متوقفة لفترات طويلة رغم الشكاوى المقدمة.,Medium,Open,2025-01-17,,
